recipeName,protein,carbs,fat,totalCalories,proteinRatio,carbRatio,fatRatio,healthIndex,highProtein,lowCarb,dietType_dash,dietType_keto,dietType_mediterranean,dietType_paleo,dietType_vegan,cuisineType_american,cuisineType_asian,cuisineType_british,cuisineType_caribbean,cuisineType_central europe,cuisineType_chinese,cuisineType_eastern europe,cuisineType_french,cuisineType_indian,cuisineType_italian,cuisineType_japanese,cuisineType_kosher,cuisineType_mediterranean,cuisineType_mexican,cuisineType_middle eastern,cuisineType_nordic,cuisineType_south american,cuisineType_south east asian,cuisineType_world
Bone Broth From 'Nom Nom Paleo',-0.8688068683376754,-0.8113873571973671,-0.934787989036069,54.84,0.3807439824945295,0.09409190371991247,0.5251641137855579,-0.005689277899343537,0,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Paleo Effect Asian-Glazed Pork Sides, A Sweet & Crispy Appetizer",1.0949641125286091,-0.6643692063380321,0.23598483114623384,2155.9399999999996,0.3368368321938459,0.05309980797239256,0.6100633598337616,-0.060728035103017663,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Paleo Pumpkin Pie,-0.5826997028045566,0.8094164793894465,-0.16846991812340448,2204.84,0.05607663141089603,0.5489559333103535,0.3949674352787504,0.11791513216378514,1,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Strawberry Guacamole recipes,-0.8198044733067014,-0.41067817104618304,-0.47045952131440427,880.61,0.04369698277330487,0.3442159412225616,0.6120870760041335,-0.03283065148022393,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
"Asian Cauliflower Fried ""Rice"" From 'Nom Nom Paleo'",-0.4832471147076024,-0.5274104752411178,-0.374956435520885,1019.6299999999999,0.15629198827025492,0.21215538970018538,0.6315526220295598,-0.05771603424771729,1,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Paleo Shrimp-Stuffed Mushrooms recipes,-0.16272690357318584,-0.6346212965593229,-0.6133865236383247,793.04,0.34611116715424195,0.17224856249369516,0.48164027035206297,0.02824069403813176,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Paleo Pumpkin Pie recipes,-0.5925001818107514,0.6657335372213955,-0.16093451169715764,2102.76,0.05712492153170119,0.524795982423101,0.4180790960451978,0.10163214061519146,1,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Autoimmune Paleo Pesto,-0.8796096690604129,-0.7422086736975116,-0.3638990456562836,729.7,0.023297245443332875,0.07756612306427299,0.8991366314923941,-0.23172536658900916,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Baked Banana Chip Encrusted French Toast,0.7756689612699669,9.2654077666311,2.1989582051835277,11581.800000000001,0.05280008288867015,0.6474019582448324,0.2997979588664974,0.1848614205045848,1,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Vietnamese Pho Pressure Cooker (Noodle Soup),5.787611651222068,0.6603003746759171,2.3153474718324047,7111.21,0.3391321589434147,0.15461222492374715,0.5062556161328382,0.01170785281267181,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Paleo Collard Burrito,-0.4300126946512261,-0.6641540315837557,-0.31835898073244434,999.26,0.17861217300802593,0.11472489642335329,0.7066629305686207,-0.11252526869883711,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Paleo Chawanmushi (Savory Egg Custard) recipes,-0.2428012718169821,-0.7468349309144539,-0.759507883034241,520.28,0.4722841546859384,0.10217575151841315,0.42554009379564856,0.05489351887445221,1,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
‘paleo' banana bread,-0.40695929517074514,0.21741693668656292,0.3206762468499208,2365.24,0.07896027464443355,0.3256160051411273,0.5954237202144391,-0.024692631614550736,1,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Leftover Turkey Sandwich recipes,-0.32454617625501603,-0.6302102140966572,-0.8455098042033623,483.14,0.44782050751335023,0.28952270563397775,0.2626567868526721,0.1713581984517945,1,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Paleo Pumpkin Waffles,-0.3562863639455333,-0.3361739123779873,-0.31901423346516145,1268.9,0.16152573094806524,0.2825439356923319,0.5559303333596027,-0.005303806446528475,1,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
